"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C6,C7","5","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C2","1","470u","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm",""
"C5","1","220u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C8,C9","2","33p","","","","Capacitor_SMD:C_0603_1608Metric",""
"C10","1","10µ","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C11,C15","2","15n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"C12,C13,C14","3","22n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C16,C17,C18","3","10n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C19,C21","2","6.8n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"C20","1","1n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C22,C24","2","100n","","","","Capacitor_SMD:C_0603_1608Metric",""
"J1","1","Barrel_Jack","","","","custom_parts:3D-JWT_A3963_1x02_P3.96mm_Vertical",""
"J2","1","Ext LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J5","1","SMA_connector","","","","custom_parts:SMA_EdgeMount_Horizontal",""
"J6","1","5V fan","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical",""
"J7","1","12V fan","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical",""
"L1","1","33uH","","","","custom_parts:L_Pulse_PA4343",""
"L2","1","6.2uH","","","","custom_parts:L_Koolmu_1x_small_THTonly_0077932A7",""
"L3,L4","2","16.9uH","","","","custom_parts:L_Koolmu_1x_small_THTonly_0077932A7",""
"L5","1","11.5uH","","","","custom_parts:L_Koolmu_1x_small_THTonly_0077932A7",""
"Q1","1","IRF640N","","","","custom_parts:3D_TO-220-3_Vertical","https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfb4615-datasheet-en.pdf"
"R1","1","220","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"R2","1","100","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","5","","","","custom_parts:Bridge_R_0805_2012Metric",""
"R8","1","330","","","","Resistor_SMD:R_0805_2012Metric",""
"R9","1","2M","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","SW_SPST","","","","custom_parts:3D-JWT_A3963_1x02_P3.96mm_Vertical",""
"TP1","1","24V","","","","TestPoint:TestPoint_Plated_Hole_D2.0mm",""
"TP2","1","12V","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP3","1","5V","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP4","1","GND","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP5,TP9","2","GND","","","","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"TP6","1","Gate","","","","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"TP7","1","Drain","","","","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"TP8","1","Vout","","","","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"TP10","1","Iout","","","","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"U1","1","L7812","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U2","1","L7805","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U3","1","74LVC1GU04","","","","Package_TO_SOT_SMD:SOT-553","http://www.ti.com/lit/ds/symlink/sn74lvc1gu04.pdf"
"U4","1","74LVC1G14","","","","Package_TO_SOT_SMD:SOT-553","https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf"
"U5","1","74HC161","","","","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS161"
"U6","1","1EDN8511B","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering",""
"Y1","1","7.6MHz","","","","Crystal:Crystal_SMD_HC49-SD",""
